Store,Date,Weekly_Sales,Monthly0_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,5/2/2010,1643690.9,May,0,42.3,2.57,211.0963582,8.106
1,12/2/2010,1641957.44,Dec,1,38.5,2.55,211.2421698,8.106
1,2/19/2010,1611968.17,Feb,0,39.9,2.51,211.2891429,8.106
1,2/26/2010,1409727.59,Feb,0,46.6,2.56,211.3196429,8.106
1,5/3/2010,1554806.68,May,0,46.5,2.62,211.3501429,8.106
1,12/3/2010,1439541.59,Dec,0,57.8,2.67,211.3806429,8.106
1,3/19/2010,1472515.79,Mar,0,54.6,2.72,211.215635,8.106
1,3/26/2010,1404429.92,Mar,0,51.4,2.73,211.0180424,8.106
1,2/4/2010,1594968.28,Feb,0,62.3,2.72,210.8204499,7.808
1,9/4/2010,1545418.53,Sep,0,65.9,2.77,210.6228574,7.808
1,4/16/2010,1466058.28,Apr,0,66.3,2.81,210.4887,7.808
1,4/23/2010,1391256.12,Apr,0,64.8,2.79,210.4391228,7.808
1,4/30/2010,1425100.71,Apr,0,67.4,2.78,210.3895456,7.808
1,7/5/2010,1603955.12,Jul,0,72.6,2.84,210.3399684,7.808
1,5/14/2010,1494251.5,May,0,74.8,2.85,210.3374261,7.808
1,5/21/2010,1399662.07,May,0,76.4,2.83,210.6170934,7.808
1,5/28/2010,1432069.95,May,0,80.4,2.76,210.8967606,7.808
1,4/6/2010,1615524.71,Apr,0,80.7,2.71,211.1764278,7.808
1,11/6/2010,1542561.09,Nov,0,80.4,2.67,211.4560951,7.808
1,6/18/2010,1503284.06,Jun,0,84.1,2.64,211.4537719,7.808
1,6/25/2010,1422711.6,Jun,0,84.3,2.65,211.3386526,7.808
1,2/7/2010,1492418.14,Feb,0,80.9,2.67,211.2235333,7.787
1,9/7/2010,1546074.18,Sep,0,80.5,2.64,211.108414,7.787
1,7/16/2010,1448938.92,Jul,0,83.2,2.62,211.1003854,7.787
1,7/23/2010,1385065.2,Jul,0,83.4,2.61,211.2351443,7.787
1,7/30/2010,1371986.6,Jul,0,81.8,2.64,211.3699032,7.787
1,6/8/2010,1605491.78,Jun,0,87.2,2.63,211.5046621,7.787
1,8/13/2010,1508237.76,Aug,0,87,2.69,211.6394211,7.787
1,8/20/2010,1513080.49,Aug,0,86.6,2.66,211.6033633,7.787
1,8/27/2010,1449142.92,Aug,0,85.2,2.62,211.5673056,7.787
1,3/9/2010,1540163.53,Mar,0,81.2,2.58,211.5312479,7.787
1,10/9/2010,1507460.69,Oct,1,78.7,2.56,211.4951902,7.787
1,9/17/2010,1430378.67,Sep,0,82.1,2.58,211.5224596,7.787
1,9/24/2010,1351791.03,Sep,0,80.9,2.62,211.5972246,7.787
1,1/10/2010,1453329.5,Jan,0,71.9,2.6,211.6719895,7.838
1,8/10/2010,1508239.93,Aug,0,63.9,2.63,211.7467544,7.838
1,10/15/2010,1459409.1,Oct,0,67.2,2.72,211.8137436,7.838
1,10/22/2010,1345454,Oct,0,69.9,2.73,211.8612937,7.838
1,10/29/2010,1384209.22,Oct,0,69.6,2.72,211.9088438,7.838
1,5/11/2010,1551659.28,May,0,58.7,2.69,211.9563939,7.838
1,12/11/2010,1494479.49,Dec,0,59.6,2.73,212.003944,7.838
1,11/19/2010,1483784.18,Nov,0,51.4,2.77,211.8896737,7.838
1,11/26/2010,1955624.11,Nov,1,64.5,2.73,211.7484333,7.838
1,3/12/2010,1548033.78,Mar,0,49.3,2.71,211.607193,7.838
1,10/12/2010,1682614.26,Oct,0,46.3,2.84,211.4659526,7.838
1,12/17/2010,1891034.93,Dec,0,49.8,2.87,211.4053124,7.838
1,12/24/2010,2387950.2,Dec,0,52.3,2.89,211.4051222,7.838
1,12/31/2010,1367320.01,Dec,1,48.4,2.94,211.4049321,7.838
1,7/1/2011,1444732.28,Jul,0,48.3,2.98,211.4047419,7.742
1,1/14/2011,1391013.96,Jan,0,35.4,2.98,211.4574109,7.742
1,1/21/2011,1327405.42,Jan,0,44,3.02,211.8272343,7.742
1,1/28/2011,1316899.31,Jan,0,43.8,3.01,212.1970577,7.742
1,4/2/2011,1606629.58,Apr,0,42.3,2.99,212.5668812,7.742
1,11/2/2011,1649614.93,Nov,1,36.4,3.02,212.9367046,7.742
1,2/18/2011,1686842.78,Feb,0,57.4,3.04,213.2478853,7.742
1,2/25/2011,1456800.28,Feb,0,62.9,3.06,213.535609,7.742
1,4/3/2011,1636263.41,Apr,0,59.6,3.29,213.8233327,7.742
1,11/3/2011,1553191.63,Nov,0,53.6,3.46,214.1110564,7.742
1,3/18/2011,1576818.06,Mar,0,62.8,3.49,214.3627114,7.742
1,3/25/2011,1541102.38,Mar,0,70,3.47,214.5999389,7.742
1,1/4/2011,1495064.75,Jan,0,59.2,3.52,214.8371664,7.682
1,8/4/2011,1614259.35,Aug,0,67.8,3.62,215.0743939,7.682
1,4/15/2011,1559889,Apr,0,71.3,3.74,215.2918561,7.682
1,4/22/2011,1564819.81,Apr,0,73,3.81,215.4599053,7.682
1,4/29/2011,1455090.69,Apr,0,72,3.81,215.6279544,7.682
1,6/5/2011,1629391.28,Jun,0,64.6,3.91,215.7960035,7.682
1,5/13/2011,1604775.58,May,0,75.6,3.9,215.9640526,7.682
1,5/20/2011,1428218.27,May,0,67.6,3.91,215.7339202,7.682
1,5/27/2011,1466046.67,May,0,77.7,3.79,215.5037878,7.682
1,3/6/2011,1635078.41,Mar,0,83,3.7,215.2736553,7.682
1,10/6/2011,1588948.32,Oct,0,83.1,3.65,215.0435229,7.682
1,6/17/2011,1532114.86,Jun,0,86.4,3.64,214.9980596,7.682
1,6/24/2011,1438830.15,Jun,0,83.6,3.59,215.0910982,7.682
1,1/7/2011,1488538.09,Jan,0,85.6,3.52,215.1841368,7.962
1,8/7/2011,1534849.64,Aug,0,85.8,3.48,215.2771754,7.962
1,7/15/2011,1455119.97,Jul,0,88.5,3.58,215.3611087,7.962
1,7/22/2011,1396926.82,Jul,0,85.8,3.65,215.4222784,7.962
1,7/29/2011,1352219.79,Jul,0,86.8,3.68,215.4834482,7.962
1,5/8/2011,1624383.75,May,0,91.6,3.68,215.544618,7.962
1,12/8/2011,1525147.09,Dec,0,90.8,3.64,215.6057878,7.962
1,8/19/2011,1530761.43,Aug,0,89.9,3.55,215.6693107,7.962
1,8/26/2011,1464693.46,Aug,0,88,3.52,215.7332258,7.962
1,2/9/2011,1550229.22,Feb,0,87.8,3.53,215.7971409,7.962
1,9/9/2011,1540471.24,Sep,1,76,3.55,215.861056,7.962
1,9/16/2011,1514259.78,Sep,0,79.9,3.53,216.0410526,7.962
1,9/23/2011,1380020.27,Sep,0,75.8,3.47,216.3758246,7.962
1,9/30/2011,1394561.83,Sep,0,79.7,3.36,216.7105965,7.962
1,7/10/2011,1630989.95,Jul,0,69.3,3.29,217.0453684,7.866
1,10/14/2011,1493525.93,Oct,0,71.7,3.27,217.3552733,7.866
1,10/21/2011,1502562.78,Oct,0,63.7,3.35,217.5159762,7.866
1,10/28/2011,1445249.09,Oct,0,66.6,3.37,217.6766791,7.866
1,4/11/2011,1697229.58,Apr,0,55,3.33,217.837382,7.866
1,11/11/2011,1594938.89,Nov,0,59.1,3.3,217.9980849,7.866
1,11/18/2011,1539483.7,Nov,0,62.2,3.31,218.2205088,7.866
1,11/25/2011,2033320.66,Nov,1,60.1,3.24,218.4676211,7.866
1,2/12/2011,1584083.95,Feb,0,48.9,3.17,218.7147333,7.866
1,9/12/2011,1799682.38,Sep,0,43.9,3.16,218.9618456,7.866
1,12/16/2011,1881176.67,Dec,0,51.6,3.16,219.1794533,7.866
1,12/23/2011,2270188.99,Dec,0,48,3.11,219.3577216,7.866
1,12/30/2011,1497462.72,Dec,1,44.6,3.13,219.5359898,7.866
1,6/1/2012,1550369.92,Jun,0,49,3.16,219.7142581,7.348
1,1/13/2012,1459601.17,Jan,0,48.5,3.26,219.8925263,7.348
1,1/20/2012,1394393.84,Jan,0,54.1,3.27,219.9856893,7.348
